ID_Produit;Nom_Produit;Categorie;Prix_Unitaire_ECO;Quantite_Stock;Statut_Disponibilite;Score_Avis;Date_Ajout;Poids_kg;Code_Barres
PROD-0478;Télévision 4K Quantum;Électronique;500.52;1120;En stock;3.5;2025-12-19;2.38;3660123828961
PROD-0479;Écouteurs Sans Fil Quantum;Électronique;863.54;1356;En stock;4.0;2025-09-29;9.12;3660123243826
PROD-0480;Tapis de Yoga Vortex;Sports & Loisirs;937.2;241;En stock;3.6;2026-03-14;1.68;3660123308296
PROD-0481;Brosse à Dents Électrique Zenith;Beauté & Santé;1082.62;413;En stock;3.7;2025-02-23;4.5;3660123141319
PROD-0482;Parfum Nova;Beauté & Santé;897.77;984;En stock;3.7;2024-01-03;0.29;3660123193326
PROD-0483;Tablette Elite;Électronique;647.38;184;En stock;4.6;2024-03-17;10.88;3660123206210
PROD-0484;Jeans Slim Quantum;Mode;1285.37;606;En stock;3.5;2024-02-21;1.59;3660123283188
PROD-0485;Écouteurs Sans Fil Zenith;Électronique;1044.05;640;En stock;3.9;2024-04-28;1.52;3660123895034
PROD-0486;Smartphone Nova;Électronique;865.72;349;En stock;3.7;2026-07-04;6.62;3660123752011
PROD-0487;T-shirt en Coton Zenith;Mode;1061.29;374;En stock;3.2;2025-02-13;14.44;3660123385037
PROD-0488;Gourde Isotherme Quantum;Sports & Loisirs;847.0;341;En stock;3.2;2025-12-13;10.92;3660123985364
PROD-0489;Aspirateur Robot Quantum;Maison & Cuisine;1185.47;988;En stock;4.6;2025-11-25;6.63;3660123741018
PROD-0490;Haltères Vortex;Sports & Loisirs;47.16;1401;En stock;4.8;2026-01-14;14.6;3660123237002
PROD-0491;Gourde Isotherme Apex;Sports & Loisirs;1154.99;902;En stock;3.1;2024-09-24;9.86;3660123112960
PROD-0492;Brosse à Dents Électrique Elite;Beauté & Santé;1136.35;1063;En stock;4.0;2025-12-18;9.31;3660123553873
PROD-0493;Four à Micro-ondes Zenith;Maison & Cuisine;866.18;1313;En stock;3.8;2026-05-09;12.41;3660123742686
PROD-0494;Smartphone Elite;Électronique;1215.33;1035;En stock;4.7;2026-05-22;7.49;3660123273438
PROD-0495;Télévision 4K Zenith;Électronique;320.74;569;En stock;3.1;2024-08-16;8.3;3660123497030
PROD-0496;Vélo Tout Terrain Apex;Sports & Loisirs;602.22;1173;En stock;3.9;2026-05-27;7.53;3660123431414
PROD-0497;Télévision 4K Elite;Électronique;852.84;210;En stock;3.8;2024-02-06;8.4;3660123100177
PROD-0498;Tablette Vortex;Électronique;832.41;1041;En stock;4.1;2025-11-01;10.1;3660123457411
PROD-0499;T-shirt en Coton Nova;Mode;1099.16;679;En stock;4.1;2025-09-26;9.04;3660123851470
PROD-0500;Chaussures de Sport Apex;Mode;135.68;1349;En stock;3.4;2024-12-15;5.39;3660123764441
PROD-0501;Sac à Dos Vortex;Mode;492.31;217;En stock;3.1;2024-06-17;7.44;3660123961760
PROD-0502;Tapis de Yoga Zenith;Sports & Loisirs;797.99;384;En stock;3.2;2026-05-22;5.95;3660123579247
PROD-0503;Mélangeur Apex;Maison & Cuisine;986.71;95;En stock;4.9;2026-05-07;10.11;3660123229204
PROD-0504;Gourde Isotherme Elite;Sports & Loisirs;770.21;1032;En stock;3.3;2025-05-25;0.16;3660123871976
PROD-0505;Tablette Quantum;Électronique;1092.06;989;En stock;4.8;2026-03-10;13.83;3660123285810
PROD-0506;Brosse à Dents Électrique Elite;Beauté & Santé;1061.65;212;En stock;3.8;2025-09-06;9.13;3660123437477
PROD-0507;Parfum Quantum;Beauté & Santé;1273.55;1418;En stock;4.5;2024-10-07;6.03;3660123459513
PROD-0508;Chaussures de Sport Nova;Mode;188.24;1233;En stock;4.4;2026-02-05;7.73;3660123984027
PROD-0509;Crème Hydratante Elite;Beauté & Santé;960.49;1133;En stock;4.3;2024-07-24;3.22;3660123849086
PROD-0510;Veste d'Hiver Elite;Mode;181.14;1454;En stock;4.3;2024-07-01;7.61;3660123828038
PROD-0511;T-shirt en Coton Zenith;Mode;735.33;1193;En stock;4.1;2025-11-14;10.68;3660123806995
PROD-0512;Crème Hydratante Quantum;Beauté & Santé;1052.7;1070;En stock;3.2;2025-01-25;2.27;3660123802812
PROD-0513;Ordinateur Portable Zenith;Électronique;977.73;329;En stock;5.0;2025-11-30;3.83;3660123980155
PROD-0514;Montre Connectée Zenith;Électronique;273.15;1108;En stock;3.1;2026-04-13;6.84;3660123746036
PROD-0515;Brosse à Dents Électrique Elite;Beauté & Santé;844.77;796;En stock;3.5;2026-03-14;11.97;3660123829943
PROD-0516;T-shirt en Coton Quantum;Mode;509.94;1403;En stock;3.6;2025-07-19;0.9;3660123879794
PROD-0517;Jeans Slim Vortex;Mode;1130.81;907;En stock;4.7;2026-07-22;9.54;3660123844012
PROD-0518;Sac à Dos Vortex;Mode;962.59;402;En stock;4.6;2024-07-17;4.48;3660123286044
PROD-0519;Ordinateur Portable Nova;Électronique;958.24;244;En stock;3.8;2025-03-14;4.26;3660123377075
PROD-0520;Machine à Café Vortex;Maison & Cuisine;1101.35;11;Stock faible;3.7;2025-12-27;14.07;3660123141880
PROD-0521;Mélangeur Vortex;Maison & Cuisine;75.59;1280;En stock;4.2;2025-11-08;4.59;3660123928278
PROD-0522;Crème Hydratante Apex;Beauté & Santé;1021.39;650;En stock;4.1;2024-07-07;7.86;3660123924451
PROD-0523;Brosse à Dents Électrique Quantum;Beauté & Santé;710.56;826;En stock;3.2;2024-08-14;13.26;3660123795556
PROD-0524;Veste d'Hiver Zenith;Mode;388.7;1266;En stock;4.1;2025-07-28;12.37;3660123780840
PROD-0525;Smartphone Elite;Électronique;456.34;492;En stock;4.8;2025-09-20;13.79;3660123355671
PROD-0526;Montre Connectée Zenith;Électronique;501.96;232;En stock;3.8;2025-07-07;10.89;3660123125905
PROD-0527;Crème Hydratante Vortex;Beauté & Santé;1045.62;912;En stock;4.0;2024-10-30;13.48;3660123301863
PROD-0528;Sac à Dos Apex;Mode;1233.18;342;En stock;4.9;2026-03-02;8.12;3660123107686
PROD-0529;Ordinateur Portable Elite;Électronique;822.06;436;En stock;4.7;2025-03-10;12.55;3660123315565
PROD-0530;Parfum Elite;Beauté & Santé;1063.6;147;En stock;4.5;2024-06-06;0.45;3660123851690
PROD-0531;T-shirt en Coton Apex;Mode;104.48;364;En stock;4.6;2025-07-25;1.15;3660123961530
PROD-0532;Mélangeur Quantum;Maison & Cuisine;510.55;1290;En stock;3.8;2024-11-19;0.35;3660123806004
PROD-0533;Tablette Apex;Électronique;837.43;1266;En stock;3.1;2026-02-02;8.83;3660123834928
PROD-0534;Écouteurs Sans Fil Vortex;Électronique;146.9;1404;En stock;3.6;2024-03-29;4.29;3660123558936
PROD-0535;Gourde Isotherme Elite;Sports & Loisirs;49.75;320;En stock;4.1;2024-05-19;11.23;3660123935474
PROD-0536;Crème Hydratante Elite;Beauté & Santé;195.85;1387;En stock;4.8;2026-03-25;13.02;3660123779414
PROD-0537;T-shirt en Coton Vortex;Mode;1138.44;289;En stock;3.2;2024-01-06;8.63;3660123513224
PROD-0538;Sèche-Cheveux Zenith;Beauté & Santé;280.96;1486;En stock;3.7;2025-02-26;13.59;3660123992819
PROD-0539;Brosse à Dents Électrique Nova;Beauté & Santé;247.34;1263;En stock;4.7;2024-07-17;1.81;3660123803571
PROD-0540;Sèche-Cheveux Vortex;Beauté & Santé;605.02;1125;En stock;3.1;2025-11-18;1.1;3660123202972
PROD-0541;Friteuse sans Huile Quantum;Maison & Cuisine;1237.48;731;En stock;3.3;2025-11-02;3.59;3660123398987
PROD-0542;Sèche-Cheveux Nova;Beauté & Santé;419.93;922;En stock;3.7;2025-11-06;4.65;3660123712546
PROD-0543;Friteuse sans Huile Vortex;Maison & Cuisine;480.19;647;En stock;4.9;2024-06-21;0.17;3660123358133
PROD-0544;Four à Micro-ondes Zenith;Maison & Cuisine;1093.73;275;En stock;4.4;2024-12-05;13.18;3660123585331
PROD-0545;Haltères Zenith;Sports & Loisirs;638.18;222;En stock;3.4;2025-09-13;1.32;3660123394247
PROD-0546;Friteuse sans Huile Nova;Maison & Cuisine;349.56;1283;En stock;3.2;2024-03-18;13.39;3660123990856
PROD-0547;Sèche-Cheveux Vortex;Beauté & Santé;756.77;1208;En stock;3.4;2024-02-07;8.32;3660123669868
PROD-0548;Parfum Elite;Beauté & Santé;1009.99;749;En stock;3.8;2026-07-01;11.6;3660123868844
PROD-0549;Jeans Slim Quantum;Mode;656.44;185;En stock;3.8;2025-05-29;0.26;3660123350484
PROD-0550;Brosse à Dents Électrique Vortex;Beauté & Santé;191.07;326;En stock;3.4;2025-08-02;9.93;3660123253300
PROD-0551;Haltères Apex;Sports & Loisirs;292.27;998;En stock;3.5;2024-09-27;5.6;3660123144887
PROD-0552;Friteuse sans Huile Zenith;Maison & Cuisine;510.63;931;En stock;4.8;2024-02-10;14.71;3660123439813
PROD-0553;Montre Connectée Vortex;Électronique;827.29;560;En stock;4.7;2024-09-26;8.72;3660123697856
PROD-0554;Four à Micro-ondes Elite;Maison & Cuisine;498.28;1203;En stock;4.3;2026-05-05;1.26;3660123363807
PROD-0555;Vélo Tout Terrain Vortex;Sports & Loisirs;533.53;706;En stock;4.0;2025-05-08;13.32;3660123106918
PROD-0556;Brosse à Dents Électrique Quantum;Beauté & Santé;223.62;157;En stock;4.0;2024-10-14;3.25;3660123295984
PROD-0557;Mélangeur Vortex;Maison & Cuisine;935.31;242;En stock;4.3;2025-02-28;12.19;3660123855242
PROD-0558;Télévision 4K Elite;Électronique;627.66;431;En stock;4.2;2025-10-24;12.52;3660123123536
PROD-0559;Aspirateur Robot Nova;Maison & Cuisine;749.79;329;En stock;3.3;2025-06-08;0.68;3660123700067
PROD-0560;Aspirateur Robot Nova;Maison & Cuisine;343.14;368;En stock;4.0;2025-02-19;9.03;3660123690982
PROD-0561;Montre Connectée Elite;Électronique;863.64;580;En stock;4.9;2024-08-09;6.79;3660123594312
PROD-0562;Vélo Tout Terrain Nova;Sports & Loisirs;1081.16;1230;En stock;3.3;2025-08-19;12.32;3660123290719
PROD-0563;Crème Hydratante Nova;Beauté & Santé;944.19;701;En stock;4.8;2025-09-02;8.9;3660123340977
PROD-0564;Gourde Isotherme Nova;Sports & Loisirs;150.05;414;En stock;4.0;2026-07-20;7.61;3660123540186
PROD-0565;Friteuse sans Huile Apex;Maison & Cuisine;238.86;1259;En stock;4.2;2026-06-17;11.78;3660123627778
PROD-0566;Smartphone Quantum;Électronique;860.61;1235;En stock;4.1;2024-01-02;13.46;3660123912510
PROD-0567;Raquette de Tennis Quantum;Sports & Loisirs;487.78;88;En stock;4.4;2025-03-15;3.52;3660123941272
PROD-0568;Gourde Isotherme Zenith;Sports & Loisirs;769.86;1426;En stock;4.2;2025-03-11;2.09;3660123600318
PROD-0569;Aspirateur Robot Zenith;Maison & Cuisine;781.79;1113;En stock;3.8;2024-07-12;0.18;3660123879769
PROD-0570;Tablette Vortex;Électronique;161.99;14;Stock faible;3.8;2024-07-29;10.35;3660123431246
PROD-0571;Haltères Apex;Sports & Loisirs;209.65;1334;En stock;4.2;2024-09-24;12.84;3660123544136
PROD-0572;Crème Hydratante Vortex;Beauté & Santé;365.46;1393;En stock;3.8;2024-07-27;6.26;3660123921861
PROD-0573;Parfum Nova;Beauté & Santé;487.56;1136;En stock;4.0;2024-11-10;8.71;3660123911801
PROD-0574;Vélo Tout Terrain Elite;Sports & Loisirs;163.61;470;En stock;3.9;2025-12-17;14.24;3660123205149
PROD-0575;Friteuse sans Huile Quantum;Maison & Cuisine;1024.03;1127;En stock;4.2;2025-12-01;10.63;3660123268546
PROD-0576;Tapis de Yoga Apex;Sports & Loisirs;1071.99;965;En stock;4.9;2025-03-21;1.41;3660123375871
PROD-0577;Mélangeur Apex;Maison & Cuisine;795.64;1483;En stock;3.8;2025-02-14;9.25;3660123646313
PROD-0578;Sac à Dos Apex;Mode;1229.96;358;En stock;4.3;2025-03-25;0.26;3660123991884
PROD-0579;Crème Hydratante Nova;Beauté & Santé;53.35;1227;En stock;4.0;2025-12-16;3.55;3660123277715
PROD-0580;Écouteurs Sans Fil Nova;Électronique;854.96;322;En stock;3.2;2024-10-09;11.72;3660123470281
PROD-0581;Gourde Isotherme Vortex;Sports & Loisirs;268.39;31;Stock faible;4.5;2024-03-11;13.8;3660123676289
PROD-0582;Sac à Dos Vortex;Mode;459.03;566;En stock;3.5;2024-07-18;6.88;3660123523579
PROD-0583;Sèche-Cheveux Zenith;Beauté & Santé;235.78;1036;En stock;3.2;2024-03-15;7.6;3660123456480
PROD-0584;Tablette Zenith;Électronique;1140.18;1177;En stock;3.5;2025-03-29;14.49;3660123690525
PROD-0585;Vélo Tout Terrain Zenith;Sports & Loisirs;1249.99;939;En stock;4.4;2026-07-07;8.84;3660123128679
PROD-0586;Tapis de Yoga Zenith;Sports & Loisirs;97.13;1297;En stock;4.6;2024-08-13;10.19;3660123341099
PROD-0587;Chaussures de Sport Zenith;Mode;676.28;19;Stock faible;4.4;2024-09-26;3.8;3660123197527
PROD-0588;Haltères Apex;Sports & Loisirs;725.36;365;En stock;4.0;2024-12-28;3.36;3660123701581
PROD-0589;Jeans Slim Elite;Mode;891.2;389;En stock;4.0;2024-07-23;3.6;3660123353814
PROD-0590;Jeans Slim Nova;Mode;271.56;511;En stock;4.7;2024-12-30;2.42;3660123211871
PROD-0591;Smartphone Elite;Électronique;1242.95;1008;En stock;4.2;2026-02-21;12.87;3660123144316
PROD-0592;Haltères Vortex;Sports & Loisirs;416.88;1176;En stock;4.7;2025-05-17;2.82;3660123901387
PROD-0593;Crème Hydratante Quantum;Beauté & Santé;296.49;1181;En stock;3.3;2025-06-22;12.01;3660123601554
PROD-0594;Sèche-Cheveux Vortex;Beauté & Santé;457.99;1405;En stock;4.6;2025-04-13;14.65;3660123832162
PROD-0595;Parfum Zenith;Beauté & Santé;899.07;24;Stock faible;4.3;2025-01-23;8.76;3660123441244
PROD-0596;Sac à Dos Zenith;Mode;251.42;538;En stock;3.5;2025-04-27;14.38;3660123459762
PROD-0597;Jeans Slim Quantum;Mode;556.88;858;En stock;4.4;2025-01-16;5.54;3660123520051
PROD-0598;Chaussures de Sport Nova;Mode;747.11;1179;En stock;4.4;2026-04-13;1.59;3660123383062
PROD-0599;Friteuse sans Huile Quantum;Maison & Cuisine;1114.63;401;En stock;3.3;2026-01-26;2.33;3660123944804
PROD-0600;Ordinateur Portable Quantum;Électronique;654.47;1291;En stock;4.0;2026-01-07;4.8;3660123610258
PROD-0601;Veste d'Hiver Vortex;Mode;1117.46;97;En stock;3.8;2025-12-08;2.53;3660123325933
PROD-0602;Chaussures de Sport Elite;Mode;134.22;685;En stock;3.5;2025-01-03;8.45;3660123949363
PROD-0603;Veste d'Hiver Apex;Mode;541.16;719;En stock;4.7;2025-09-12;3.06;3660123703869
PROD-0604;Brosse à Dents Électrique Zenith;Beauté & Santé;468.08;1378;En stock;4.0;2026-03-04;11.07;3660123182216
PROD-0605;Raquette de Tennis Zenith;Sports & Loisirs;608.23;296;En stock;4.7;2025-10-17;12.13;3660123453777
PROD-0606;Raquette de Tennis Vortex;Sports & Loisirs;532.15;146;En stock;3.2;2024-12-17;3.5;3660123432270
PROD-0607;Veste d'Hiver Vortex;Mode;841.58;555;En stock;4.8;2026-03-10;12.96;3660123480805
PROD-0608;Parfum Quantum;Beauté & Santé;225.83;47;Stock faible;3.3;2024-08-28;9.96;3660123880009
PROD-0609;Ordinateur Portable Nova;Électronique;522.18;195;En stock;3.1;2026-06-18;7.15;3660123156440
PROD-0610;Télévision 4K Vortex;Électronique;996.84;170;En stock;3.2;2025-09-24;2.41;3660123786641
PROD-0611;Haltères Nova;Sports & Loisirs;329.13;581;En stock;3.9;2024-05-09;2.06;3660123979249
PROD-0612;Aspirateur Robot Apex;Maison & Cuisine;865.97;666;En stock;4.7;2025-04-23;14.63;3660123666843
PROD-0613;Sac à Dos Quantum;Mode;184.29;1428;En stock;4.1;2025-08-28;9.0;3660123761701
PROD-0614;Parfum Vortex;Beauté & Santé;835.31;1093;En stock;3.6;2024-12-21;7.28;3660123338161
PROD-0615;Télévision 4K Zenith;Électronique;481.85;532;En stock;3.3;2024-01-11;0.1;3660123954987
PROD-0616;Mélangeur Zenith;Maison & Cuisine;615.26;17;Stock faible;4.4;2025-05-18;14.21;3660123600241
PROD-0617;T-shirt en Coton Quantum;Mode;1039.36;1222;En stock;3.5;2024-01-08;8.27;3660123297731
PROD-0618;Raquette de Tennis Quantum;Sports & Loisirs;519.22;334;En stock;4.4;2025-10-23;5.91;3660123496737
PROD-0619;Mélangeur Apex;Maison & Cuisine;554.68;490;En stock;4.0;2026-03-30;13.66;3660123946803
PROD-0620;Veste d'Hiver Elite;Mode;968.37;550;En stock;3.8;2026-05-23;1.12;3660123243260
PROD-0621;T-shirt en Coton Elite;Mode;597.38;927;En stock;3.5;2025-09-29;7.43;3660123436219
PROD-0622;Ordinateur Portable Apex;Électronique;1260.92;45;Stock faible;3.4;2024-04-14;4.3;3660123231113
PROD-0623;Tapis de Yoga Nova;Sports & Loisirs;126.34;30;Stock faible;4.0;2024-12-16;6.36;3660123923892
PROD-0624;Haltères Quantum;Sports & Loisirs;909.04;64;En stock;3.7;2026-05-13;11.28;3660123253184
PROD-0625;Écouteurs Sans Fil Quantum;Électronique;102.08;962;En stock;3.4;2026-07-06;12.64;3660123956949
PROD-0626;Tapis de Yoga Apex;Sports & Loisirs;1267.22;1463;En stock;3.5;2026-02-28;14.63;3660123359168
PROD-0627;Ordinateur Portable Quantum;Électronique;958.56;192;En stock;4.0;2024-08-01;7.15;3660123814544
PROD-0628;Veste d'Hiver Nova;Mode;821.61;86;En stock;4.5;2025-07-16;7.86;3660123365617
PROD-0629;Haltères Nova;Sports & Loisirs;474.94;106;En stock;4.7;2024-08-11;14.6;3660123347428
PROD-0630;Haltères Apex;Sports & Loisirs;225.88;565;En stock;4.2;2025-02-09;11.86;3660123109363
PROD-0631;Tablette Elite;Électronique;623.09;1221;En stock;3.3;2026-02-28;1.43;3660123265358
PROD-0632;Tapis de Yoga Elite;Sports & Loisirs;808.04;1280;En stock;3.1;2024-12-30;9.7;3660123835395
PROD-0633;Sèche-Cheveux Nova;Beauté & Santé;639.31;648;En stock;5.0;2026-03-18;9.71;3660123464189
PROD-0634;Vélo Tout Terrain Apex;Sports & Loisirs;899.12;733;En stock;4.4;2024-09-13;13.49;3660123608876
PROD-0635;Raquette de Tennis Zenith;Sports & Loisirs;710.12;1003;En stock;3.4;2024-07-10;8.2;3660123439403
PROD-0636;Haltères Vortex;Sports & Loisirs;1189.66;1135;En stock;3.3;2025-06-27;2.41;3660123410035
PROD-0637;Sac à Dos Zenith;Mode;595.75;1306;En stock;4.0;2026-01-21;2.86;3660123119629
PROD-0638;Crème Hydratante Vortex;Beauté & Santé;318.02;1476;En stock;3.1;2025-07-05;12.3;3660123299092
PROD-0639;Parfum Vortex;Beauté & Santé;208.82;579;En stock;3.6;2025-10-18;4.9;3660123200932
PROD-0640;Sèche-Cheveux Apex;Beauté & Santé;1087.39;265;En stock;3.4;2024-02-02;3.11;3660123608947
PROD-0641;Aspirateur Robot Apex;Maison & Cuisine;746.6;795;En stock;4.3;2025-06-22;9.4;3660123718975
PROD-0642;T-shirt en Coton Zenith;Mode;294.72;1470;En stock;3.1;2026-08-01;3.21;3660123615276
PROD-0643;Télévision 4K Elite;Électronique;88.29;1142;En stock;4.5;2026-06-30;6.3;3660123486996
PROD-0644;Tablette Zenith;Électronique;692.43;144;En stock;4.7;2024-03-20;14.17;3660123644719
PROD-0645;Smartphone Elite;Électronique;308.0;789;En stock;3.4;2025-06-22;9.89;3660123697717
PROD-0646;Friteuse sans Huile Elite;Maison & Cuisine;729.99;216;En stock;4.5;2025-08-13;5.43;3660123581003
PROD-0647;Tapis de Yoga Nova;Sports & Loisirs;1032.27;1126;En stock;3.8;2024-12-11;9.9;3660123659835
PROD-0648;Parfum Zenith;Beauté & Santé;1174.2;1126;En stock;5.0;2024-11-28;12.69;3660123532373
PROD-0649;Haltères Vortex;Sports & Loisirs;320.52;1117;En stock;3.4;2026-02-23;8.3;3660123880746
PROD-0650;Veste d'Hiver Quantum;Mode;587.26;813;En stock;3.0;2024-02-05;14.75;3660123724702
PROD-0651;Tablette Nova;Électronique;1291.49;618;En stock;3.0;2024-08-15;3.3;3660123430201
PROD-0652;Montre Connectée Zenith;Électronique;1195.64;1047;En stock;4.1;2026-08-06;8.62;3660123198867
PROD-0653;Télévision 4K Zenith;Électronique;211.37;542;En stock;3.7;2025-08-19;3.82;3660123368691
PROD-0654;T-shirt en Coton Vortex;Mode;525.73;445;En stock;4.5;2026-01-10;4.94;3660123605972
PROD-0655;Four à Micro-ondes Elite;Maison & Cuisine;916.66;195;En stock;4.2;2024-11-03;0.66;3660123947607
PROD-0656;Parfum Apex;Beauté & Santé;1016.35;684;En stock;3.7;2026-04-16;6.57;3660123226395
PROD-0657;Friteuse sans Huile Apex;Maison & Cuisine;827.7;1294;En stock;3.8;2024-11-08;7.91;3660123434827
PROD-0658;Brosse à Dents Électrique Zenith;Beauté & Santé;658.09;452;En stock;3.3;2025-11-20;11.0;3660123511967
PROD-0659;Raquette de Tennis Vortex;Sports & Loisirs;661.09;454;En stock;3.9;2026-03-16;5.98;3660123238610
PROD-0660;T-shirt en Coton Quantum;Mode;747.15;100;En stock;4.1;2024-09-25;1.37;3660123626199
PROD-0661;Vélo Tout Terrain Nova;Sports & Loisirs;630.38;405;En stock;4.0;2025-10-29;8.61;3660123688426
PROD-0662;Brosse à Dents Électrique Nova;Beauté & Santé;102.41;880;En stock;3.6;2026-08-04;8.68;3660123217996
PROD-0663;Gourde Isotherme Zenith;Sports & Loisirs;459.31;656;En stock;3.7;2025-11-02;0.46;3660123419625
PROD-0664;Mélangeur Vortex;Maison & Cuisine;1069.83;905;En stock;4.2;2025-03-27;0.77;3660123957915
PROD-0665;Machine à Café Elite;Maison & Cuisine;492.22;1491;En stock;4.7;2024-04-25;11.12;3660123354854
PROD-0666;Brosse à Dents Électrique Zenith;Beauté & Santé;27.71;1420;En stock;4.6;2024-11-08;6.81;3660123123853
PROD-0667;Jeans Slim Elite;Mode;704.02;417;En stock;4.1;2026-02-07;3.95;3660123606489
PROD-0668;Brosse à Dents Électrique Elite;Beauté & Santé;911.38;37;Stock faible;3.8;2026-07-16;9.99;3660123145594
PROD-0669;Jeans Slim Apex;Mode;376.37;1426;En stock;4.2;2024-02-24;7.03;3660123108739
PROD-0670;Télévision 4K Elite;Électronique;359.98;1351;En stock;3.7;2024-04-20;0.38;3660123780956
PROD-0671;Vélo Tout Terrain Quantum;Sports & Loisirs;666.01;1453;En stock;3.2;2024-11-19;7.32;3660123726111
PROD-0672;Sèche-Cheveux Nova;Beauté & Santé;266.54;937;En stock;4.1;2025-12-30;0.42;3660123359409
PROD-0673;Crème Hydratante Zenith;Beauté & Santé;642.0;321;En stock;3.0;2025-12-01;5.34;3660123755602
PROD-0674;Jeans Slim Vortex;Mode;365.87;126;En stock;4.3;2026-06-18;5.87;3660123954441
PROD-0675;Tablette Zenith;Électronique;300.99;699;En stock;4.8;2025-11-03;2.15;3660123865344
PROD-0676;Raquette de Tennis Elite;Sports & Loisirs;800.05;1281;En stock;4.4;2025-03-03;3.68;3660123260169
PROD-0677;Haltères Vortex;Sports & Loisirs;434.77;1110;En stock;3.3;2025-10-30;2.16;3660123667650
PROD-0678;Machine à Café Zenith;Maison & Cuisine;898.2;1072;En stock;4.8;2025-03-16;14.94;3660123907455
PROD-0679;Friteuse sans Huile Nova;Maison & Cuisine;419.56;1141;En stock;4.1;2026-01-06;1.86;3660123433025
PROD-0680;Aspirateur Robot Zenith;Maison & Cuisine;1145.36;847;En stock;4.9;2024-11-06;6.7;3660123961613
PROD-0681;Jeans Slim Nova;Mode;147.73;378;En stock;3.1;2025-09-18;9.29;3660123735022
PROD-0682;Brosse à Dents Électrique Vortex;Beauté & Santé;309.51;1407;En stock;3.1;2024-03-22;10.35;3660123599753
PROD-0683;Friteuse sans Huile Vortex;Maison & Cuisine;614.69;1330;En stock;3.7;2026-05-22;5.87;3660123596864
PROD-0684;Machine à Café Nova;Maison & Cuisine;301.88;836;En stock;4.5;2024-01-16;13.89;3660123533108
PROD-0685;Machine à Café Nova;Maison & Cuisine;95.31;899;En stock;4.7;2025-05-16;10.35;3660123579770
PROD-0686;Four à Micro-ondes Quantum;Maison & Cuisine;1011.31;1245;En stock;4.5;2025-01-24;10.83;3660123513296
PROD-0687;Sèche-Cheveux Vortex;Beauté & Santé;151.01;935;En stock;4.7;2024-02-13;13.18;3660123357657
PROD-0688;Parfum Elite;Beauté & Santé;60.62;793;En stock;4.0;2025-10-07;14.44;3660123299072
PROD-0689;Chaussures de Sport Quantum;Mode;1150.86;585;En stock;3.9;2025-03-08;4.49;3660123157196
PROD-0690;Brosse à Dents Électrique Quantum;Beauté & Santé;1080.55;925;En stock;3.2;2025-05-27;1.79;3660123916558
PROD-0691;Brosse à Dents Électrique Quantum;Beauté & Santé;543.48;923;En stock;3.0;2025-04-09;8.9;3660123847251
PROD-0692;Four à Micro-ondes Apex;Maison & Cuisine;332.6;1416;En stock;4.3;2025-12-29;11.97;3660123853270
PROD-0693;Smartphone Apex;Électronique;921.02;1298;En stock;3.7;2025-06-20;10.64;3660123862182
PROD-0694;Brosse à Dents Électrique Quantum;Beauté & Santé;719.94;89;En stock;4.5;2026-07-23;5.09;3660123791567
PROD-0695;Machine à Café Nova;Maison & Cuisine;240.73;1458;En stock;3.1;2024-11-11;4.71;3660123905967
PROD-0696;Haltères Elite;Sports & Loisirs;243.09;269;En stock;4.9;2024-01-04;9.38;3660123365406
PROD-0697;Télévision 4K Quantum;Électronique;1113.47;1113;En stock;4.6;2025-09-14;13.25;3660123349433
PROD-0698;Friteuse sans Huile Elite;Maison & Cuisine;623.66;839;En stock;3.9;2025-09-07;9.04;3660123356600
PROD-0699;Crème Hydratante Vortex;Beauté & Santé;820.93;425;En stock;3.1;2024-05-31;0.92;3660123465973
PROD-0700;Ordinateur Portable Apex;Électronique;870.42;1235;En stock;3.6;2026-07-31;1.41;3660123214176
PROD-0701;Vélo Tout Terrain Nova;Sports & Loisirs;876.99;1251;En stock;4.3;2025-12-17;8.97;3660123925551
PROD-0702;Brosse à Dents Électrique Quantum;Beauté & Santé;976.63;737;En stock;4.9;2024-04-05;11.55;3660123438503
PROD-0703;Chaussures de Sport Apex;Mode;988.38;1127;En stock;3.1;2025-04-27;2.1;3660123828361
PROD-0704;Veste d'Hiver Vortex;Mode;543.74;429;En stock;4.4;2025-09-18;0.97;3660123699121
PROD-0705;Sèche-Cheveux Quantum;Beauté & Santé;944.05;1238;En stock;4.9;2025-12-24;4.38;3660123738419
PROD-0706;Veste d'Hiver Vortex;Mode;751.92;1276;En stock;3.7;2024-05-12;9.25;3660123620509
PROD-0707;Parfum Quantum;Beauté & Santé;1052.28;1248;En stock;3.5;2024-10-24;14.69;3660123101657
PROD-0708;Smartphone Quantum;Électronique;816.83;241;En stock;4.5;2024-07-31;12.01;3660123534773
PROD-0709;Tapis de Yoga Zenith;Sports & Loisirs;461.04;1305;En stock;3.4;2025-10-17;3.1;3660123395307
PROD-0710;T-shirt en Coton Zenith;Mode;397.36;1126;En stock;3.6;2024-01-07;1.8;3660123449472
PROD-0711;Chaussures de Sport Elite;Mode;743.9;59;En stock;4.7;2024-07-17;5.02;3660123454352
PROD-0712;Gourde Isotherme Apex;Sports & Loisirs;842.88;986;En stock;3.3;2025-04-16;13.39;3660123663051
PROD-0713;Chaussures de Sport Quantum;Mode;1206.84;114;En stock;4.7;2024-11-02;8.52;3660123811141
